"URL","HTTP_STATUS","FINAL_URL","INTERNAL_LINK_COUNT","CANONICAL","ROBOTS_META","H1_COUNT","PRELAUNCH_CURTAIN","SAFE_LINK_MASK"
"https://jungle.tibaldo.fr/conseils/plantes-interieur-hiver","200","https://jungle.tibaldo.fr/conseils/plantes-interieur-hiver","61","https://jungle.tibaldo.fr/conseils/plantes-interieur-hiver","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/conseils/humidite-plantes-tropicales","200","https://jungle.tibaldo.fr/conseils/humidite-plantes-tropicales","61","https://jungle.tibaldo.fr/conseils/humidite-plantes-tropicales","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/conseils/araignees-rouges-plantes","200","https://jungle.tibaldo.fr/conseils/araignees-rouges-plantes","61","https://jungle.tibaldo.fr/conseils/araignees-rouges-plantes","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/conseils/choisir-plante-selon-piece","200","https://jungle.tibaldo.fr/conseils/choisir-plante-selon-piece","61","https://jungle.tibaldo.fr/conseils/choisir-plante-selon-piece","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/conseils/nettoyer-feuilles-plantes","200","https://jungle.tibaldo.fr/conseils/nettoyer-feuilles-plantes","61","https://jungle.tibaldo.fr/conseils/nettoyer-feuilles-plantes","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/fleurs/rose","200","https://jungle.tibaldo.fr/fleurs/rose","67","https://jungle.tibaldo.fr/fleurs/rose","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/fleurs/pivoine","200","https://jungle.tibaldo.fr/fleurs/pivoine","67","https://jungle.tibaldo.fr/fleurs/pivoine","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/fleurs/gypsophile","200","https://jungle.tibaldo.fr/fleurs/gypsophile","67","https://jungle.tibaldo.fr/fleurs/gypsophile","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/fleurs/hortensia","200","https://jungle.tibaldo.fr/fleurs/hortensia","67","https://jungle.tibaldo.fr/fleurs/hortensia","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/fleurs/renoncule","200","https://jungle.tibaldo.fr/fleurs/renoncule","67","https://jungle.tibaldo.fr/fleurs/renoncule","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
