"URL","TYPE_PAGE","FAMILLE","GENRE","ESPECE","CULTIVAR","PHOTO_HERO","PHOTO_CARTE","PHOTO_FEUILLE","PHOTO_HUB","PHOTO_SOURCE","PHOTO_RIGHTS_STATUS","PLACEHOLDER","PHOTO_SUSPECTE","CONTENU_COMPLET","LIENS_INTERNES","PRIORITE","HTTP_STATUS","CANONICAL","H1_COUNT"
"https://jungle.tibaldo.fr/livraison-plantes-lille","OTHER_JUNGLE_CONTENT","","","","","NOT_AUDITED_AS_BOTANICAL_MEDIA","","","","","OUT_OF_BOTANICAL_MEDIA_SCOPE","OUT_OF_SCOPE","NO","HTTP_AND_STRUCTURE_PRESENT","62","OUT_OF_MEDIA_SCOPE","200","https://jungle.tibaldo.fr/livraison-plantes-lille","1"
"https://jungle.tibaldo.fr/mur-vegetal-naturel-lille","OTHER_JUNGLE_CONTENT","","","","","NOT_AUDITED_AS_BOTANICAL_MEDIA","","","","","OUT_OF_BOTANICAL_MEDIA_SCOPE","OUT_OF_SCOPE","NO","HTTP_AND_STRUCTURE_PRESENT","63","OUT_OF_MEDIA_SCOPE","200","https://jungle.tibaldo.fr/mur-vegetal-naturel-lille","1"
"https://jungle.tibaldo.fr/sos-plantes","OTHER_JUNGLE_CONTENT","","","","","NOT_AUDITED_AS_BOTANICAL_MEDIA","","","","","OUT_OF_BOTANICAL_MEDIA_SCOPE","OUT_OF_SCOPE","NO","HTTP_AND_STRUCTURE_PRESENT","65","OUT_OF_MEDIA_SCOPE","200","https://jungle.tibaldo.fr/sos-plantes","1"
"https://jungle.tibaldo.fr/conseils","OTHER_JUNGLE_CONTENT","","","","","NOT_AUDITED_AS_BOTANICAL_MEDIA","","","","","OUT_OF_BOTANICAL_MEDIA_SCOPE","OUT_OF_SCOPE","NO","HTTP_AND_STRUCTURE_PRESENT","78","OUT_OF_MEDIA_SCOPE","200","https://jungle.tibaldo.fr/conseils","1"
"https://jungle.tibaldo.fr/plantes/bananiers","HUB_GENRE_OR_GROUP","","bananiers","","","HONEST_MEDIA_GAP","","","HONEST_MEDIA_GAP","","NO_MEDIA","YES","NO","HTTP_AND_STRUCTURE_PRESENT","69","P2_PHOTO_REQUIRED","200","https://jungle.tibaldo.fr/plantes/bananiers","1"
"https://jungle.tibaldo.fr/conseils/feuilles-jaunes-plantes-interieur","OTHER_JUNGLE_CONTENT","","","","","NOT_AUDITED_AS_BOTANICAL_MEDIA","","","","","OUT_OF_BOTANICAL_MEDIA_SCOPE","OUT_OF_SCOPE","NO","HTTP_AND_STRUCTURE_PRESENT","61","OUT_OF_MEDIA_SCOPE","200","https://jungle.tibaldo.fr/conseils/feuilles-jaunes-plantes-interieur","1"
"https://jungle.tibaldo.fr/conseils/thrips-plantes-interieur","OTHER_JUNGLE_CONTENT","","","","","NOT_AUDITED_AS_BOTANICAL_MEDIA","","","","","OUT_OF_BOTANICAL_MEDIA_SCOPE","OUT_OF_SCOPE","NO","HTTP_AND_STRUCTURE_PRESENT","61","OUT_OF_MEDIA_SCOPE","200","https://jungle.tibaldo.fr/conseils/thrips-plantes-interieur","1"
"https://jungle.tibaldo.fr/conseils/arroser-plantes-interieur","OTHER_JUNGLE_CONTENT","","","","","NOT_AUDITED_AS_BOTANICAL_MEDIA","","","","","OUT_OF_BOTANICAL_MEDIA_SCOPE","OUT_OF_SCOPE","NO","HTTP_AND_STRUCTURE_PRESENT","61","OUT_OF_MEDIA_SCOPE","200","https://jungle.tibaldo.fr/conseils/arroser-plantes-interieur","1"
"https://jungle.tibaldo.fr/conseils/choisir-substrat-plante-interieur","OTHER_JUNGLE_CONTENT","","","","","NOT_AUDITED_AS_BOTANICAL_MEDIA","","","","","OUT_OF_BOTANICAL_MEDIA_SCOPE","OUT_OF_SCOPE","NO","HTTP_AND_STRUCTURE_PRESENT","61","OUT_OF_MEDIA_SCOPE","200","https://jungle.tibaldo.fr/conseils/choisir-substrat-plante-interieur","1"
"https://jungle.tibaldo.fr/conseils/lumiere-plantes-interieur","OTHER_JUNGLE_CONTENT","","","","","NOT_AUDITED_AS_BOTANICAL_MEDIA","","","","","OUT_OF_BOTANICAL_MEDIA_SCOPE","OUT_OF_SCOPE","NO","HTTP_AND_STRUCTURE_PRESENT","61","OUT_OF_MEDIA_SCOPE","200","https://jungle.tibaldo.fr/conseils/lumiere-plantes-interieur","1"
